2025-11-04T04:43:38.1451392Z Print service container logs: 23003c60be74470dbb29d30eec0a5ea6_postgres15_e002ad
2025-11-04T04:43:38.1455584Z ##[command]/usr/bin/docker logs --details 39e18f218c1eb9de5d61c46dad4caac08c5f534802b46156d18f7eb45b40203e
2025-11-04T04:43:38.1584966Z  initdb: warning: enabling "trust" authentication for local connections
2025-11-04T04:43:38.1586044Z  The files belonging to this database system will be owned by user "postgres".
2025-11-04T04:43:38.1589463Z  initdb: hint: You can change this by editing pg_hba.conf or using the option -A, or --auth-local and --auth-host, the next time you run initdb.
2025-11-04T04:43:38.1590922Z  2025-11-04 04:20:07.379 UTC [1] LOG:  starting PostgreSQL 15.14 (Debian 15.14-1.pgdg13+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 14.2.0-19) 14.2.0, 64-bit
2025-11-04T04:43:38.1592034Z  2025-11-04 04:20:07.379 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2025-11-04T04:43:38.1592798Z  2025-11-04 04:20:07.379 UTC [1] LOG:  listening on IPv6 address "::", port 5432
2025-11-04T04:43:38.1593678Z  2025-11-04 04:20:07.380 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
2025-11-04T04:43:38.1594560Z  2025-11-04 04:20:07.383 UTC [64] LOG:  database system was shut down at 2025-11-04 04:20:07 UTC
2025-11-04T04:43:38.1595370Z  2025-11-04 04:20:07.387 UTC [1] LOG:  database system is ready to accept connections
2025-11-04T04:43:38.1596083Z  2025-11-04 04:20:16.476 UTC [75] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1596712Z  2025-11-04 04:20:26.539 UTC [83] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1597322Z  2025-11-04 04:20:36.624 UTC [92] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1597934Z  2025-11-04 04:20:46.713 UTC [101] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1599246Z  2025-11-04 04:20:56.800 UTC [109] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1599897Z  2025-11-04 04:21:06.892 UTC [117] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1600570Z  2025-11-04 04:21:16.980 UTC [126] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1601247Z  2025-11-04 04:21:27.050 UTC [134] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1601861Z  2025-11-04 04:21:37.116 UTC [142] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1602464Z  2025-11-04 04:21:47.182 UTC [151] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1602918Z  2025-11-04 04:21:57.249 UTC [159] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1603278Z  2025-11-04 04:22:07.328 UTC [167] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1603617Z  2025-11-04 04:22:17.400 UTC [176] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1604239Z  2025-11-04 04:22:27.470 UTC [184] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1604565Z  2025-11-04 04:22:37.537 UTC [193] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1604907Z  2025-11-04 04:22:47.620 UTC [202] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1605243Z  2025-11-04 04:22:57.729 UTC [212] FATAL:  role "root" does not exist
2025-11-04T04:43:38.1605579Z  2025-11-04 04:23:07.797 UTC [233] FATAL:  role "root" does not exist
